GEOID_20,tract_number_20,INTPTLAT,INTPTLON,Area Name,Secondary Review 
10003014000,14000,39.6858508,-75.692598,Prides Crossing,Hillside Heights/Old Mill Manor
10003014100,14100,39.6778919,-75.7116197,,Ogletown
10003014200,14200,39.6864047,-75.7218527,,Windy Hills/Lumbrook
10003014301,14301,39.7169252,-75.7721392,White Clay Creek,White Clay Creek
10003014302,14302,39.6930075,-75.7686676,Fairfield,Fairfield 
10003014402,14402,39.6672243,-75.7609138,Newark Station,Devon/Silver Brook
10003014403,14403,39.6809925,-75.768418,W Main,Cherry Hill/Oakland
10003014404,14404,39.6757088,-75.7821173,Huntig Hills,Huntig Hills
10003014501,14501,39.6866828,-75.7459501,Cleveland Auto,E Cleaveland Ave
10003014502,14502,39.6726478,-75.7439538,UD Botanic,UD Main Campus
10003014702,14702,39.6536286,-75.7418291,DuPont,Yorkshire
10003014703,14703,39.6691583,-75.7275104,Brookside,Brookside/Cool Run Ecology
10003014705,14705,39.6616299,-75.7134704,Chestnut Hill,Scottfield/Salem Village
10003014706,14706,39.6456598,-75.7175027,,Piermont Woods/Becher's Lot
10003014803,14803,39.6512518,-75.7723835,Summit View,Palm Springs Manor
10003014808,14808,39.6181998,-75.7297243,Sunset Lake,Stones Throw/Glasgow Pines
10003014809,14809,39.5931442,-75.7005372,,Hickory Woods
10003014810,14810,39.5736892,-75.7248418,Lums Pond,Woodside Manor 
10003014811,14811,39.5546942,-75.7498496,Summit Bridge,Summit Bridge
10003014812,14812,39.5926539,-75.7664986,Pine View,Glasgow
10003014813,14813,39.6351489,-75.7644499,Iron Hill ,
10003014814,14814,39.6136422,-75.7650263,Glasgow,
10003014903,14903,39.6281474,-75.6896147,Heather Woods/Wellington Woods/Glasgow Court,
10003014904,14904,39.6499084,-75.6468363,Jamestown,
10003014906,14906,39.6404141,-75.6710354,Taylortown,
10003014907,14907,39.6533168,-75.6614888,Christiana Landing,
10003014908,14908,39.6528388,-75.6287187,Old Forge,
10003014909,14909,39.6598756,-75.6229628,Rambleton Acres/Timber Ridge,
10003015000,15000,39.6781772,-75.6062642,NCC Airport,
10003015100,15100,39.6782337,-75.5805849,Wilmington Manor,
10003015200,15200,39.7070504,-75.5832416,Wilmington Manor/West Minquadale,
10003015400,15400,39.7132227,-75.5536339,Dunleith/Oakmont/Rose Hill Gardens/Millside,
10003015502,15502,39.7015729,-75.5381251,New Castle Industrial Park/Holloway Terrace,
10003015600,15600,39.7009532,-75.5636196,East Minquadale,
10003015802,15802,39.684939,-75.5418995,Collins Park/Buttonwood,
10003015900,15900,39.6879217,-75.5621035,Castle Hills/Swanwyck,
10003016000,16000,39.6849732,-75.571771,Jefferson Farms/Colonial Village Apartments,
10003016100,16100,39.6685783,-75.56076,Rogers Manor,
10003016200,16200,39.6567679,-75.5860423,Dobbinsville,
10003016301,16301,39.612313,-75.6769433,Glendale/Kingscroft,
10003016306,16306,39.6358766,-75.6392763,Fairwinds/Buena Vista/Buckley Park ,
10003016307,16307,39.6188596,-75.6553471,Kingscroft ,
10003016308,16308,39.6261594,-75.6146868,Willow Chase/Castblebrook ,
10003016309,16309,39.657883,-75.6071747,Midvale,
10003016401,16401,39.5664091,-75.680589,Rolling Meadows,
10003016404,16404,39.575228,-75.6186613,Birds Corner/Saint Georges Heigths/Delaware City ,
10003016608,16608,39.5094336,-75.6012906,Port Penn,
10003016609,16609,39.5013554,-75.7361011,Armstrong/Mt Pleasant,
10003016610,16610,39.4451537,-75.7450935,Westown ,
10003016611,16611,39.5223043,-75.6908419,WhiteHall/St Georges,
10003016612,16612,39.4805903,-75.6911324,Armstrong/Parkside,
10003016613,16613,39.4580597,-75.7040961,Middletown Crossing,
10003016614,16614,39.4530985,-75.6756329,Middletown/Odessa,
10003016805,16805,39.3508117,-75.7232541,Van Dyke/Greenspring,
10003016806,16806,39.4043663,-75.7214521,Wiggins Mill/Appoquinimink,
10003016807,16807,39.4472925,-75.6175785,Thomas Landing,
10003016808,16808,39.406162,-75.6447895,Beaver Branch,
10003016901,16901,39.3186614,-75.6736781,Green Spring,
10003016904,16904,39.3744719,-75.5757732,Tent/Chambersville/Walker,
10001040100,40100,39.2372835,-75.6947414,Blakiston/Kenton,
10001040201,40201,39.2908408,-75.6375081,Clayton,
10001040203,40203,39.2858685,-75.550836,Woodland Court/ Nadais Landing,
